run_num,run_id,scan_id,ordinal,wheel,direction,tension_state,metadata_correct_digit,before_code,after_code,before_digit,after_digit,truth_digit,is_true_gate,position_valid,collection_mode,action_type,sample_rate,channels,audio_duration_s,motion_duration_s,quality_valid,final_step,event_count,target_rms,target_peak,target_clipped,reference_rms,reference_peak,reference_clipped,audio_overflow,contains_non_finite,scan_start_code,scan_start_digit,transition
75,run_000075,8,5,1,CCW,UNLOADED,-1,9062,0062,9,0,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274302,True,171,2,0.002163795348897727,0.014251708984375,0,0.0021052742260978144,0.036163330078125,0,False,False,5062,5,9→0
76,run_000076,8,6,1,CCW,UNLOADED,-1,0062,1062,0,1,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274805,True,171,2,0.0026330945487844527,0.047515869140625,0,0.0025520235378284784,0.044891357421875,0,False,False,5062,5,0→1
77,run_000077,8,7,1,CCW,UNLOADED,-1,1062,2062,1,2,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275543,True,171,2,0.0026383675687648663,0.084869384765625,0,0.0024772422646202287,0.05596923828125,0,False,False,5062,5,1→2
78,run_000078,8,8,1,CCW,UNLOADED,-1,2062,3062,2,3,3,1,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274197,True,171,2,0.0039541944108622135,0.119659423828125,0,0.0025428511020788866,0.036834716796875,0,False,False,5062,5,2→3
79,run_000079,8,9,1,CCW,UNLOADED,-1,3062,4062,3,4,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274351,True,171,2,0.0022773869232812207,0.034881591796875,0,0.0020930665206285236,0.039337158203125,0,False,False,5062,5,3→4
80,run_000080,8,10,1,CCW,UNLOADED,-1,4062,5062,4,5,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.2752,True,171,2,0.00300738683468891,0.11724853515625,0,0.002448473749029969,0.03460693359375,0,False,False,5062,5,4→5
81,run_000081,9,1,1,CCW,UNLOADED,-1,8062,9062,8,9,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275064,True,171,2,0.00257264840312332,0.05242919921875,0,0.0033012495260028706,0.092041015625,0,False,False,8062,8,8→9
82,run_000082,9,2,1,CCW,UNLOADED,-1,9062,0062,9,0,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274451,True,171,2,0.0037130402951169985,0.1092529296875,0,0.004677929784301648,0.093994140625,0,False,False,8062,8,9→0
83,run_000083,9,3,1,CCW,UNLOADED,-1,0062,1062,0,1,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275499,True,171,2,0.0027897341076867977,0.093597412109375,0,0.002357670511258696,0.026519775390625,0,False,False,8062,8,0→1
84,run_000084,9,4,1,CCW,UNLOADED,-1,1062,2062,1,2,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275268,True,171,2,0.002443136007510827,0.068359375,0,0.002364598461214437,0.0360107421875,0,False,False,8062,8,1→2
